fips,Type Number,Mapped ACP Type
1001,1,38
1003,2,42
1005,3,43
1007,4,33
1009,4,33
1011,3,43
1013,3,43
1015,4,33
1017,3,43
1019,5,30
1021,4,33
1023,3,43
1025,3,43
1027,4,33
1029,4,33
1031,6,32
1033,4,33
1035,3,43
1037,3,43
1039,4,33
1041,4,33
1043,4,33
1045,6,32
1047,3,43
1049,4,33
1051,1,38
1053,3,43
1055,4,33
1057,4,33
1059,4,33
1061,4,33
1063,3,43
1065,3,43
1067,4,33
1069,3,43
1071,4,33
1073,3,43
1075,4,33
1077,4,33
1079,4,33
1081,3,43
1083,1,38
1085,3,43
1087,3,43
1089,7,32
1091,3,43
1093,4,33
1095,4,33
1097,3,43
1099,3,43
1101,3,43
1103,4,33
1105,3,43
1107,3,43
1109,3,43
1111,4,33
1113,3,43
1115,1,38
1117,1,38
1119,3,43
1121,4,33
1123,4,33
1125,3,43
1127,4,33
1129,4,33
1131,3,43
1133,4,33
2020,6,32
2060,6,32
2068,6,32
2090,6,32
2100,2,42
2105,2,42
2110,6,32
2122,2,42
2130,6,32
2150,6,32
2170,2,42
2195,10,24
2198,2,42
2220,6,32
2230,2,42
2240,6,32
2261,6,32
2275,10,24
2282,6,32
4003,6,32
4005,11,28
4007,2,42
4011,2,42
4012,2,42
4013,14,32
4015,2,42
4019,7,32
4021,2,42
4023,8,31
4025,2,42
4027,8,31
5001,4,33
5003,3,43
5005,5,30
5007,1,38
5009,4,33
5011,3,43
5013,3,43
5015,5,30
5017,3,43
5019,11,28
5021,5,30
5023,5,30
5025,4,33
5027,3,43
5029,4,33
5031,11,28
5033,4,33
5035,3,43
5037,4,33
5039,3,43
5041,3,43
5043,3,43
5045,11,28
5047,5,30
5049,5,30
5051,4,33
5053,4,33
5055,4,33
5057,3,43
5059,4,33
5061,3,43
5063,4,33
5065,5,30
5067,4,33
5069,3,43
5071,4,33
5073,3,43
5075,5,30
5077,3,43
5079,3,43
5081,4,33
5083,4,33
5085,1,38
5087,10,24
5089,5,30
5091,3,43
5093,3,43
5095,3,43
5097,2,42
5099,3,43
5101,5,30
5103,3,43
5105,5,30
5107,3,43
5109,4,33
